Date : 2025-07-23 09:16:41
Directory : c:\Users\ibrahim\Downloads\zero_cms
Total : 558 files,  125725 codes, 4137 comments, 7354 blanks, all 137216 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\brands\lg\istanbul\buyukcekmece                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\catalca                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\cekmekoy                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\esenler                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\esenyurt                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\eyupsultan                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\fatih                                                             |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\gaziosmanpasa                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\gungorent                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\kadikoy                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\kagithane                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\kartal                                                            |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\kucukcekmece                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\maltepe                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\pendik                                                            |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\sancaktepe                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\sariyer                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\sile                                                              |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\silivri                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\sisli                                                             |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\sultanbeyli                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\sultangazi                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\tuzla                                                             |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\umraniye                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\uskudar                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\lg\istanbul\zeytinburnu                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\nexon                                                                         |          2 |        246 |         14 |         12 |        272 |
| app\brands\nexon (Files)                                                                 |          1 |        230 |         14 |          9 |        253 |
| app\brands\nexon\[model]                                                                 |          1 |         16 |          0 |          3 |         19 |
| app\brands\next                                                                          |          2 |        246 |         14 |         12 |        272 |
| app\brands\next (Files)                                                                  |          1 |        230 |         14 |          9 |        253 |
| app\brands\next\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\nordmende                                                                     |          2 |        246 |         14 |         12 |        272 |
| app\brands\nordmende (Files)                                                             |          1 |        230 |         14 |          9 |        253 |
| app\brands\nordmende\[model]                                                             |          1 |         16 |          0 |          3 |         19 |
| app\brands\onvo                                                                          |          2 |        246 |         14 |         12 |        272 |
| app\brands\onvo (Files)                                                                  |          1 |        230 |         14 |          9 |        253 |
| app\brands\onvo\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\panasonic                                                                     |          2 |         64 |          0 |          7 |         71 |
| app\brands\panasonic (Files)                                                             |          1 |         48 |          0 |          4 |         52 |
| app\brands\panasonic\[model]                                                             |          1 |         16 |          0 |          3 |         19 |
| app\brands\peaq                                                                          |          2 |        246 |         14 |         12 |        272 |
| app\brands\peaq (Files)                                                                  |          1 |        230 |         14 |          9 |        253 |
| app\brands\peaq\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\philips                                                                       |          2 |        247 |         14 |         12 |        273 |
| app\brands\philips (Files)                                                               |          1 |        231 |         14 |          9 |        254 |
| app\brands\philips\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\preo                                                                          |          2 |        246 |         14 |         12 |        272 |
| app\brands\preo (Files)                                                                  |          1 |        230 |         14 |          9 |        253 |
| app\brands\preo\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\profilo                                                                       |          2 |        246 |         14 |         12 |        272 |
| app\brands\profilo (Files)                                                               |          1 |        230 |         14 |          9 |        253 |
| app\brands\profilo\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\redline                                                                       |          2 |        247 |         14 |         12 |        273 |
| app\brands\redline (Files)                                                               |          1 |        231 |         14 |          9 |        254 |
| app\brands\redline\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\regal                                                                         |          2 |        247 |         14 |         12 |        273 |
| app\brands\regal (Files)                                                                 |          1 |        231 |         14 |          9 |        254 |
| app\brands\regal\[model]                                                                 |          1 |         16 |          0 |          3 |         19 |
| app\brands\samsung                                                                       |         43 |     10,961 |        436 |        720 |     12,117 |
| app\brands\samsung (Files)                                                               |          1 |        231 |         14 |          9 |        254 |
| app\brands\samsung\55nu7100                                                              |          1 |        232 |          4 |         19 |        255 |
| app\brands\samsung\[model]                                                               |          1 |        139 |         14 |          6 |        159 |
| app\brands\samsung\istanbul                                                              |         40 |     10,359 |        404 |        686 |     11,449 |
| app\brands\samsung\istanbul (Files)                                                      |          1 |        336 |         14 |         23 |        373 |
| app\brands\samsung\istanbul\adalar                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\arnavutkoy                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\atasehir                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\avcilar                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\bagcilar                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\bahcelievler                                                 |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\bakirkoy                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\basaksehir                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\bayrampasa                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\besiktas                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\beykoz                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\beylikduzu                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\beyoglu                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\buyukcekmece                                                 |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\catalca                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\cekmekoy                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\esenler                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\esenyurt                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\eyupsultan                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\fatih                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\gaziosmanpasa                                                |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\gungorent                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\kadikoy                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\kagithane                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\kartal                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\kucukcekmece                                                 |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\maltepe                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\pendik                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\sancaktepe                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\sariyer                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\sile                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\silivri                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\sisli                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\sultanbeyli                                                  |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\sultangazi                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\tuzla                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\umraniye                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\uskudar                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\samsung\istanbul\zeytinburnu                                                  |          1 |        257 |         10 |         17 |        284 |
| app\brands\seg                                                                           |          2 |        247 |         14 |         12 |        273 |
| app\brands\seg (Files)                                                                   |          1 |        231 |         14 |          9 |        254 |
| app\brands\seg\[model]                                                                   |          1 |         16 |          0 |          3 |         19 |
| app\brands\skytech                                                                       |          2 |        247 |         14 |         12 |        273 |
| app\brands\skytech (Files)                                                               |          1 |        231 |         14 |          9 |        254 |
| app\brands\skytech\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\sony                                                                          |         42 |     10,606 |        405 |        698 |     11,709 |
| app\brands\sony (Files)                                                                  |          1 |        231 |          1 |          9 |        241 |
| app\brands\sony\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\sony\istanbul                                                                 |         40 |     10,359 |        404 |        686 |     11,449 |
| app\brands\sony\istanbul (Files)                                                         |          1 |        336 |         14 |         23 |        373 |
| app\brands\sony\istanbul\adalar                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\arnavutkoy                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\atasehir                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\avcilar                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\bagcilar                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\bahcelievler                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\bakirkoy                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\basaksehir                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\bayrampasa                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\besiktas                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\beykoz                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\beylikduzu                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\beyoglu                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\buyukcekmece                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\catalca                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\cekmekoy                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\esenler                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\esenyurt                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\eyupsultan                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\fatih                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\gaziosmanpasa                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\gungorent                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\kadikoy                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\kagithane                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\kartal                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\kucukcekmece                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\maltepe                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\pendik                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\sancaktepe                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\sariyer                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\sile                                                            |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\silivri                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\sisli                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\sultanbeyli                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\sultangazi                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\tuzla                                                           |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\umraniye                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\uskudar                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\sony\istanbul\zeytinburnu                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\sunny                                                                         |          2 |        246 |         14 |         12 |        272 |
| app\brands\sunny (Files)                                                                 |          1 |        230 |         14 |          9 |        253 |
| app\brands\sunny\[model]                                                                 |          1 |         16 |          0 |          3 |         19 |
| app\brands\tcl                                                                           |          2 |        247 |          1 |         12 |        260 |
| app\brands\tcl (Files)                                                                   |          1 |        231 |          1 |          9 |        241 |
| app\brands\tcl\[model]                                                                   |          1 |         16 |          0 |          3 |         19 |
| app\brands\telefunken                                                                    |          2 |        254 |         15 |         12 |        281 |
| app\brands\telefunken (Files)                                                            |          1 |        238 |         15 |          9 |        262 |
| app\brands\telefunken\[model]                                                            |          1 |         16 |          0 |          3 |         19 |
| app\brands\telenova                                                                      |          2 |        247 |         14 |         12 |        273 |
| app\brands\telenova (Files)                                                              |          1 |        231 |         14 |          9 |        254 |
| app\brands\telenova\[model]                                                              |          1 |         16 |          0 |          3 |         19 |
| app\brands\toshiba                                                                       |          2 |        253 |         15 |         12 |        280 |
| app\brands\toshiba (Files)                                                               |          1 |        237 |         15 |          9 |        261 |
| app\brands\toshiba\[model]                                                               |          1 |         16 |          0 |          3 |         19 |
| app\brands\vestel                                                                        |         42 |     10,635 |        420 |        699 |     11,754 |
| app\brands\vestel (Files)                                                                |          1 |        238 |         15 |          9 |        262 |
| app\brands\vestel\[model]                                                                |          1 |         16 |          0 |          3 |         19 |
| app\brands\vestel\istanbul                                                               |         40 |     10,381 |        405 |        687 |     11,473 |
| app\brands\vestel\istanbul (Files)                                                       |          1 |        358 |         15 |         24 |        397 |
| app\brands\vestel\istanbul\adalar                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\arnavutkoy                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\atasehir                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\avcilar                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\bagcilar                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\bahcelievler                                                  |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\bakirkoy                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\basaksehir                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\bayrampasa                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\besiktas                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\beykoz                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\beylikduzu                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\beyoglu                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\buyukcekmece                                                  |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\catalca                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\cekmekoy                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\esenler                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\esenyurt                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\eyupsultan                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\fatih                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\gaziosmanpasa                                                 |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\gungorent                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\kadikoy                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\kagithane                                                     |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\kartal                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\kucukcekmece                                                  |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\maltepe                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\pendik                                                        |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\sancaktepe                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\sariyer                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\sile                                                          |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\silivri                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\sisli                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\sultanbeyli                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\sultangazi                                                    |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\tuzla                                                         |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\umraniye                                                      |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\uskudar                                                       |          1 |        257 |         10 |         17 |        284 |
| app\brands\vestel\istanbul\zeytinburnu                                                   |          1 |        257 |         10 |         17 |        284 |
| app\brands\woon                                                                          |          2 |        247 |         14 |         12 |        273 |
| app\brands\woon (Files)                                                                  |          1 |        231 |         14 |          9 |        254 |
| app\brands\woon\[model]                                                                  |          1 |         16 |          0 |          3 |         19 |
| app\brands\xiaomi                                                                        |          2 |        247 |         14 |         12 |        273 |
| app\brands\xiaomi (Files)                                                                |          1 |        231 |         14 |          9 |        254 |
| app\brands\xiaomi\[model]                                                                |          1 |         16 |          0 |          3 |         19 |
| app\brands\yumatu                                                                        |          2 |        247 |         14 |         12 |        273 |
| app\brands\yumatu (Files)                                                                |          1 |        231 |         14 |          9 |        254 |
| app\brands\yumatu\[model]                                                                |          1 |         16 |          0 |          3 |         19 |
| app\cerez-politikasi                                                                     |          1 |         53 |          0 |          2 |         55 |
